F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Class
37.7,15.75,8.52,2.5,5.01,92.58,0.17,340,5,364.56,4.1,15.45,10,8.18,,False
17.7,24.15,8.44,4.84,11.07,17.58,-0.86,110,3.51,304.56,5.44,21.9,10,7.23,9.94,False
37.7,19.35,11.24,1.46,7.23,-27.42,0.04,280,2.72,104.56,7.14,20.1,10,10.23,,True
7.7,3.84,0.68,14.36,16.8,107.58,1.64,19,7.81,98.56,-2.88,2.37,1,1.89,,True
15.7,4.68,1.64,10.3,16.17,125.58,0.89,45,7.67,80.56,-1.78,2.67,1,2.14,,True
37.7,30.6,6.82,1.82,5.97,-42.42,0.31,95,4.01,154.56,3.74,18.3,10,6.33,,False
37.7,18.9,10.1,0,2.28,92.58,-1.03,110,2.69,344.56,6.66,19.95,10,9.28,12.08,True
11.7,2.43,1.08,8.94,23.58,77.58,0.2,35,11.55,112.56,-2.48,1.8,1,2.06,,True
11.7,5.1,-0.36,10.44,25.65,155.58,3.14,37,7.7,74.56,-4.08,0.93,1,1.74,,False
57.7,16.5,11.1,-0.12,2.67,212.58,-0.73,325,4.07,64.56,5.04,27.75,10,6.63,12.09,True
11.7,4.86,0.98,8.98,17.52,101.58,0.15,21,9.4,132.56,-4.16,2.88,1,1.57,,False
11.7,4.62,1.04,16.48,16.29,128.58,-0.8,22,8.18,104.56,-1.96,2.49,1,2.02,11.06,True
17.7,32.25,7.44,2.26,10.32,-42.42,0.66,55,3.9,444.56,2.28,22.8,10,6.83,,False
11.7,1.92,1.8,8.6,15.6,152.58,-0.3,12,8.39,76.56,-5.28,2.82,1,2.17,,True
11.7,1.92,1.3,14.3,24.99,158.58,-0.24,26,11.44,126.56,-3.02,2.07,1,1.87,10.52,False
17.7,25.2,6.04,-1.38,11.67,47.58,2.12,270,2.34,534.56,6.16,26.1,10,9.93,,False
37.7,26.4,7.1,0.58,4.29,287.58,-1.53,120,2.95,244.56,4.26,24.15,10,7.43,,True
7.7,5.31,-5.18,10.32,18.57,68.58,-0.36,14,7.43,100.56,-4.62,2.22,1,1.74,,False
13.7,0.09,0.78,10.34,18.78,122.58,-0.77,1,9.06,130.56,-2.6,0.9,1,2.07,10.02,False
11.7,4.29,-0.36,13.5,18.36,161.58,-0.41,38,8.23,84.56,-5.02,1.92,1,1.58,10.75,False
17.7,23.85,9.68,0.56,5.16,-117.42,-0.39,120,4.03,244.56,0.96,21,10,7.33,10.07,False
37.7,16.65,10.68,-1.36,1.74,182.58,0.4,335,3.34,364.56,6.48,24.75,10,9.73,10.86,True
37.7,22.8,7.52,3.02,6.93,-147.42,1.73,95,5.04,214.56,4.26,17.85,10,6.78,10.16,False
37.7,43.35,6.7,1.2,7.74,287.58,-1.95,315,3.91,384.56,1.32,16.95,10,8.13,10.68,False
37.7,18.75,10.68,-0.24,4.29,317.58,-0.52,285,2.54,154.56,3.66,19.8,10,8.38,,True
37.7,15.75,4.74,2.22,10.89,347.58,-2.05,90,3.62,494.56,5.2,17.7,10,8.53,9.76,False
15.7,4.71,1.3,9.3,16.74,134.58,-1.08,13,7.84,132.56,-4.24,2.28,1,1.83,,True
11.7,2.7,-3.44,12,23.1,95.58,-0.3,20,8.18,108.56,-1.84,0.87,1,2.36,,True
37.7,29.1,10.76,-1.24,2.22,32.58,-0.93,295,3.89,324.56,7.76,18.45,10,9.98,11.6,True
11.7,1.89,1.18,9.14,18.03,155.58,-0.76,19,10.04,144.56,-2.26,2.88,1,1.94,11.47,False
37.7,21.3,10.08,2.1,3.6,227.58,-1.41,240,2.74,184.56,5.56,17.4,10,9.28,12.61,True
15.7,1.41,-0.32,12.94,20.94,137.58,2.7,4,8.44,142.56,-13.2,2.73,1,1.79,11.04,False
11.7,5.7,-2.88,10.4,16.08,71.58,1.16,63,7.6,88.56,-2.18,2.91,1,1.92,11.51,True
7.7,4.62,1.96,9.56,18.03,83.58,-0.04,3,7.54,82.56,-4.2,2.88,1,2.28,,True
37.7,25.95,11.84,-1.86,1.26,317.58,0.21,370,2.58,74.56,8.04,16.8,10,10.03,11.05,True
15.7,4.86,-0.84,10.52,18.15,176.58,-0.51,7,7.83,138.56,-2.64,2.43,1,2.15,,True
15.7,5.7,-0.54,10.86,21.75,152.58,-0.49,13,7.59,64.56,-5.02,0.36,1,1.98,,True
37.7,20.85,10.28,3.88,5.04,-147.42,-0.56,100,3.65,94.56,6.6,28.05,10,7.28,,True
11.7,4.17,-1.4,11.72,16.95,104.58,-0.25,32,8.37,126.56,-4.52,2.22,1,2.09,12.42,True
17.7,44.7,9.58,6.78,2.25,122.58,0.36,385,3.51,474.56,7.2,25.5,10,8.58,10.29,False
37.7,21.6,10.44,-1.46,2.73,-147.42,1.69,350,2.15,154.56,5.52,19.2,10,9.83,10.43,False
11.7,2.19,-0.6,11.86,26.28,137.58,0.05,45,7.97,144.56,-5.04,1.5,1,2.19,12.43,True
37.7,34.2,7.72,7.54,5.79,122.58,0.02,215,6.41,504.56,4.82,25.8,10,6.58,,False
11.7,0,0.52,20.84,18.15,179.58,-0.38,8,7.52,144.56,-2.28,2.76,1,1.64,,False
17.7,22.5,10.62,2.44,5.55,-117.42,0,275,3.97,394.56,5.62,24.3,10,8.48,9.71,False
11.7,4.89,1.44,10.7,16.98,68.58,0.6,17,7.98,102.56,-2.64,2.13,1,1.84,,False
15.7,2.64,0.86,10.4,18.99,149.58,-0.65,55,8.18,144.56,-2.58,1.2,1,2.1,10.19,False
57.7,40.05,6.84,4.74,6.84,167.58,-0.79,265,3.93,354.56,1.32,17.4,10,7.53,,False
37.7,21.75,7.2,2.28,8.97,197.58,-1.35,100,4.17,444.56,3.78,19.35,10,6.98,9.51,False
15.7,3.72,-13.22,10.52,26.52,173.58,0.14,64,8.83,88.56,-7.96,0.18,1,1.9,,False
57.7,23.7,10.46,1.4,5.94,362.58,-2.12,210,3.92,494.56,3.66,26.25,10,7.93,12.46,True
15.7,3.9,-0.46,10.78,18.84,131.58,-0.85,2,8.27,112.56,-5.9,1.26,1,1.42,,False
7.7,3.9,-5.04,9,17.07,98.58,-0.68,2,9.42,120.56,-2.26,0.63,1,2.08,,False
17.7,24.45,10.12,-0.16,5.76,92.58,0.86,90,2.88,314.56,4.1,17.85,10,9.08,12.16,True
37.7,19.5,11.5,-0.56,2.19,-12.42,0.03,255,3.23,464.56,4.42,25.65,10,10.23,,True
37.7,35.85,1.28,2.28,9.06,-177.42,-2.01,35,4.9,404.56,-1.54,21,10,6.58,,False
17.7,38.4,6.76,3.56,5.73,-57.42,-2.05,40,3.99,374.56,3.7,17.1,10,7.68,,False
57.7,27.9,9.52,0.78,3.54,422.58,-2.07,240,3.34,484.56,6.32,18.6,10,9.18,9.68,False
17.7,16.8,7.76,5.74,7.62,-147.42,-0.06,30,3.78,364.56,4.38,20.85,10,7.38,,False
7.7,4.62,-1.02,10.72,21.78,119.58,3.11,25,11,78.56,-2.46,2.01,1,1.66,,False
11.7,0.87,0.7,8.56,16.71,143.58,-0.05,21,7.43,112.56,-3.78,0.78,0,2.23,10.96,True
37.7,33.9,6.48,2.78,4.29,92.58,-0.56,330,2.69,494.56,1.06,22.5,10,9.03,,False
15.7,2.97,0.8,11.96,16.92,134.58,0.61,70,7.9,138.56,-2.26,2.07,1,2.01,12.86,True
11.7,4.86,0.26,9.6,20.85,74.58,-0.59,8,8.71,122.56,-3.44,2.55,1,1.31,,False
15.7,4.47,-1.42,11.76,21.9,155.58,-0.94,8,9.24,150.56,-3.22,0.6,1,1.81,,True
7.7,1.32,-1.12,10.98,16.77,83.58,0.71,3,7.32,82.56,-3.62,2.25,1,1.81,11.36,True
17.7,26.25,9.08,4.02,4.89,17.58,-1.66,70,8.19,104.56,4.2,21.6,10,6.33,9.6,False
37.7,21.45,6.6,1.98,6.93,77.58,0.26,370,3.75,444.56,4.64,27.3,10,6.58,,False
37.7,25.95,10.9,1.02,2.1,-27.42,-0.41,150,4.59,284.56,7.4,27,10,7.53,,True
7.7,5.76,-2.38,11.74,27.84,92.58,2.72,14,8.58,114.56,-8.42,0.96,1,1.77,,False
9.7,1.23,-1.1,9.52,23.19,119.58,-0.32,0,9.36,144.56,-2.5,1.41,1,2.16,,False
17.7,27.45,5.62,-0.06,7.38,-132.42,1.9,305,3.04,494.56,3.74,29.25,10,7.43,,False
17.7,16.95,5.14,4.96,8.82,62.58,1.96,335,4.21,424.56,3.06,22.8,10,6.63,,False
17.7,28.95,2.62,-0.62,3.78,-102.42,-0.16,100,3.23,74.56,7.6,18,10,9.63,10.85,True
37.7,33,10.64,0.08,6.87,347.58,0.19,310,4.6,334.56,5.78,27.9,10,8.13,11.36,True
11.7,3.09,1.74,10.4,20.19,164.58,0.15,14,7.92,64.56,-9.14,2.37,1,1.94,,True
57.7,16.05,9.16,0.5,6.15,332.58,-1.35,350,4.41,344.56,1.2,18,10,8.83,10.04,False
37.7,22.8,8.64,-0.92,0.72,227.58,-1.32,270,5.48,234.56,5.82,20.25,10,10.28,11.74,True
15.7,1.62,-1.02,8.46,16.32,131.58,0.57,30,8.03,72.56,-3.36,2.73,1,1.79,,True
37.7,39.75,9.48,1.94,2.58,347.58,-0.65,325,3.26,124.56,4.92,19.65,10,7.93,,True
57.7,28.95,5.38,2.64,13.17,317.58,-1.32,60,5.18,354.56,4.52,20.7,10,6.43,9.34,False
37.7,40.65,5.12,6.14,10.5,287.58,-1.54,325,4.46,264.56,2.48,15.45,10,6.58,8.53,False
15.7,5.55,-1.9,10.12,16.35,131.58,-0.78,60,9.94,80.56,-6.06,1.56,1,2.05,,True
37.7,32.85,2,2.42,7.98,77.58,-1.1,100,3.91,514.56,2.8,20.25,10,7.83,10.27,False
11.7,3.51,-2.2,9.04,21.09,137.58,0.86,77,7.89,106.56,-3.52,2.46,1,2.21,11.3,True
17.7,20.25,10.18,3.28,3.45,62.58,-1.65,10,3.67,154.56,6.54,19.8,10,7.63,,True
37.7,22.05,6.8,4.34,1.56,47.58,0.11,295,3.48,344.56,4.48,23.7,10,10.13,11.37,True
17.7,33.3,11.1,0.28,2.04,-102.42,-0.58,150,2.64,354.56,7.06,20.4,10,10.08,11.85,True
13.7,1.02,-1.1,9.22,24.42,179.58,-0.89,0,8.86,82.56,-5.32,2.28,1,1.36,,False
7.7,2.58,1.74,8.46,24.51,107.58,1.27,34,10.2,90.56,-5.94,3.09,1,1.95,10.82,True
11.7,2.19,1.86,11.8,17.46,104.58,0.14,28,7.17,80.56,-2.94,1.32,1,2.27,,True
17.7,27,7.12,-0.04,4.95,-102.42,-0.69,65,4.93,354.56,5.4,24.9,10,8.43,,True
17.7,36.3,3.58,1.02,1.86,-147.42,0.15,150,2.78,384.56,5.1,29.25,10,8.18,11.72,True
11.7,3.3,-0.62,15.06,17.91,86.58,-0.36,13,9.3,118.56,-2.38,1.53,1,1.78,,False
17.7,15.6,10.2,-1.24,4.62,92.58,-0.02,130,2.54,244.56,3.98,29.7,10,7.23,11.5,True
37.7,21.3,9.6,-0.28,3.54,-12.42,-0.07,305,3.02,174.56,6.1,25.95,10,7.23,10.64,False
37.7,26.7,8.56,1.76,2.43,77.58,-0.08,115,3.01,164.56,6.92,18.15,10,8.38,,True
37.7,15.15,9.8,1.08,5.52,152.58,0.13,20,3.98,474.56,4.08,25.8,10,7.53,,True
37.7,16.35,9.04,4.66,4.92,392.58,-0.05,100,3.98,234.56,5.42,18.75,10,7.18,10.13,False
15.7,5.31,-0.2,10.24,18.3,179.58,-1.28,7,8.95,82.56,-9.5,0.66,1,1.87,11.52,True
11.7,1.08,1.3,10,17.64,62.58,-0.2,13,7.68,114.56,-2.02,2.79,1,1.87,,True
15.7,5.37,-10.28,12.98,15.54,143.58,1.3,27,8,76.56,-1.74,2.94,1,2.29,,True
11.7,6.21,-3.72,13.96,25.5,155.58,-0.77,16,8.79,154.56,-2.3,2.34,1,1.76,11.85,True
57.7,19.05,5.32,4.46,8.64,377.58,0.39,200,5.11,464.56,3.02,22.95,10,5.93,9.5,False
37.7,22.5,5.76,0.16,3.51,362.58,-1.62,300,3.57,194.56,5.08,23.25,10,7.63,11.47,True
37.7,24.6,10.26,3.96,3,347.58,0.89,170,3.76,464.56,4.66,23.25,10,9.13,12.78,True
15.7,5.04,0.06,11.76,22.11,146.58,-0.43,61,7.73,122.56,-7.98,1.44,1,1.92,11.15,False
11.7,5.55,-0.42,9.74,26.7,137.58,-0.74,11,7.8,146.56,-8.26,0.96,1,1.95,,False
37.7,35.1,10.72,0.14,2.46,302.58,1.41,340,2.87,214.56,3,23.55,10,7.78,,True
17.7,25.35,12.08,-0.86,1.26,107.58,0.61,255,3.57,94.56,8.86,15.75,10,10.98,12.53,True
7.7,5.28,-4.08,8.94,22.83,107.58,0,7,9.13,116.56,-3.86,0.81,1,1.91,,False
37.7,37.2,8.64,4.64,8.01,62.58,-2.21,125,6.77,174.56,4.96,15.45,10,7.18,,False
17.7,29.55,7.82,1.48,6.3,47.58,-0.62,215,3.44,264.56,7.14,22.65,10,8.53,11.86,True
7.7,5.46,-0.4,8.94,22.35,77.58,0.38,1,10.45,110.56,-4.5,2.91,1,1.48,10.25,False
37.7,27.3,6.5,7.46,10.35,32.58,-2.09,30,5.99,444.56,3.58,20.85,10,6.33,9.72,False
57.7,42,9.9,4.32,10.86,407.58,-2.27,285,6.82,274.56,6.24,16.8,10,8.28,9.33,False
7.7,5.31,1.42,13.86,20.34,119.58,0.57,10,7.51,90.56,-2.2,3.06,1,1.71,11.53,True
37.7,27,9.72,1.3,7.11,197.58,-0.5,280,5.61,64.56,-0.68,17.25,10,7.08,9.96,False
15.7,3.18,1.1,8.98,16.71,176.58,-0.43,2,8.47,140.56,-2.26,0.6,1,2.15,11.09,True
37.7,18,8.28,6.72,9.51,362.58,-1.41,285,2.57,454.56,6.9,22.35,10,9.28,,True
57.7,28.5,10.58,3.56,3.75,167.58,-1.82,265,2.6,394.56,6.92,22.2,10,8.98,,True
57.7,23.85,8.66,-0.64,1.95,257.58,-1.5,355,3.42,204.56,6.32,19.2,5,7.68,12.76,True
17.7,16.05,7.62,1.16,2.76,-57.42,2.63,350,2.61,364.56,8.3,24.6,10,10.73,,False
15.7,3.93,-0.4,16.56,18.45,158.58,-0.09,66,7.83,98.56,-6.44,1.98,1,2.02,,True
15.7,5.64,0.16,8.94,18.96,128.58,-0.2,1,11.4,120.56,-3.16,0.33,1,2.06,11.4,True
37.7,20.1,8.9,0.62,8.4,377.58,-2.11,110,3.62,424.56,2.94,19.2,10,8.08,,False
17.7,38.7,5.48,4.18,11.61,77.58,0.3,55,6.42,404.56,4.06,21.75,10,7.78,9.69,False
37.7,40.95,8.58,0.98,5.04,-147.42,-1.2,100,4.28,444.56,2.56,19.8,10,7.88,10.29,False
7.7,3.54,-0.92,14.1,20.79,113.58,0.93,22,8.79,138.56,-4.42,0.96,1,2.21,,False
11.7,0,-2.42,13.16,20.13,119.58,-0.47,29,7.43,122.56,-1.96,2.37,1,2.12,11.34,True
17.7,37.5,7.74,-1.44,7.77,32.58,-0.53,355,2.77,114.56,7.62,28.35,10,7.33,,False
11.7,6.27,0.78,13.18,18.57,113.58,1.23,7,7.6,72.56,-9.76,1.62,1,1.48,,False
37.7,29.55,11.02,0.02,2.19,-57.42,0.63,365,3.64,184.56,3.68,27.75,10,6.88,10.96,False
11.7,0.54,-0.52,8.84,21.42,107.58,1.09,13,7.93,142.56,-2.18,1.29,1,2.15,,False
5.7,2.49,-1.96,8.56,17.88,77.58,-0.18,0,7.46,128.56,-2.52,2.16,1,2.07,,True
57.7,17.55,5.2,4.82,2.85,422.58,-1.44,350,3.49,434.56,6.32,25.8,10,8.33,,True
37.7,31.5,10.78,5.8,3.48,17.58,-1.9,150,4.85,154.56,7.68,15.3,10,9.38,,True
15.7,6.24,-1.26,10.04,19.41,152.58,-0.09,71,8.98,66.56,-2.84,2.64,1,1.45,10.59,False
37.7,24.75,11.74,0.88,7.08,92.58,0.2,215,3.75,374.56,7.34,19.65,10,11.18,11.61,True
7.7,3.54,0.6,9.48,18.27,80.58,0.8,2,10.83,112.56,-5.26,0,1,1.92,,False
37.7,42.15,5.24,4.12,16.38,-102.42,0.12,340,6.6,374.56,0.54,15.15,10,6.53,8.13,False
11.7,3.78,0.36,11.62,23.16,65.58,-0.71,2,8.46,84.56,-4.16,1.86,1,1.66,,False
15.7,1.89,-0.74,10.28,20.25,161.58,-0.64,7,8.24,126.56,-3.48,3.21,1,1.56,10.14,True
57.7,43.8,5.78,4.84,10.14,272.58,-2.04,300,3.23,364.56,4.1,22.05,10,7.43,8.67,False
15.7,1.32,0.18,10.26,18.06,125.58,-0.4,50,7.5,78.56,-3.6,1.2,1,2.15,11.77,True
17.7,18.6,7.88,2.54,3.24,-162.42,1.79,145,2.59,204.56,-1.82,26.7,10,7.78,10.39,False
37.7,19.35,8.7,-1.2,2.58,-102.42,2.45,125,2.68,94.56,8.08,20.7,10,8.83,12.07,True
11.7,4.08,1.22,13.74,15.99,86.58,1.47,72,8.76,98.56,-5.42,2.7,1,2.1,,True
7.7,4.05,-5.16,11.02,18.81,104.58,-0.24,11,9.77,132.56,-2.4,1.17,1,1.81,,False
11.7,2.88,-2,9.6,21.09,170.58,0.78,5,7.95,116.56,-3.12,2.82,1,1.73,,True
17.7,19.05,6.8,-1.2,3.87,-27.42,1.84,115,2.79,74.56,7.2,19.65,10,8.68,,True
15.7,2.97,1.34,8.48,18.57,155.58,-0.57,4,8.18,154.56,-3.46,2.46,1,2.25,12.72,True
11.7,2.97,-1.78,10.66,18.24,80.58,-0.33,34,11.89,94.56,-16.36,1.98,1,1.92,12.96,True
37.7,34.8,10.52,0.68,5.37,32.58,-0.55,310,3.13,224.56,4.74,19.35,10,9.88,12.03,True
13.7,3.18,-0.76,11.38,18.96,173.58,-0.94,0,7.69,136.56,-3.96,2.52,1,1.36,10.46,True
11.7,5.61,-4.84,9.34,17.7,176.58,-0.2,36,9.84,86.56,-4.62,0.06,1,2.06,,True
11.7,4.68,-2.96,9.44,16.86,95.58,0.02,36,7.81,146.56,-5.2,1.29,1,2.16,,False
7.7,4.65,0.76,8.62,23.91,95.58,0.37,12,9.76,148.56,-2.74,2.94,1,1.93,,False
15.7,2.43,-2.66,9.94,17.4,149.58,-0.77,13,8.89,92.56,-3.98,1.41,1,1.88,12.09,True
37.7,26.85,8.16,3.7,7.29,-57.42,0.01,100,3.77,394.56,3.14,19.5,10,7.43,10.48,False
17.7,25.2,8.48,-1.5,1.56,-132.42,-0.63,80,2.43,344.56,3.82,15.45,10,10.88,11.17,True
17.7,24.75,6.12,2.36,22.44,-72.42,0.26,125,4.57,344.56,0.88,16.35,10,7.08,,False
17.7,21.45,10.38,1.1,1.68,2.58,-0.09,305,4.35,524.56,5.26,27,10,8.98,,False
11.7,1.05,-1.34,12.02,16.89,173.58,-0.62,4,7.72,128.56,-3.28,2.13,1,1.73,11.38,False
15.7,0.33,-2.94,11.34,22.32,155.58,0,2,7.48,108.56,-2.76,0.03,1,1.98,9.63,False
15.7,3.45,1.04,10.18,19.98,155.58,-0.07,13,9.95,148.56,-2.16,2.79,1,1.88,11.12,True
57.7,43.95,8.22,7.18,7.44,212.58,-1.02,285,3.95,524.56,0.48,23.85,10,6.93,10.42,False
11.7,0.9,0.6,9.88,20.34,125.58,-0.35,17,7.66,128.56,-6.56,2.91,1,2.03,12.77,True
37.7,16.05,8.78,5.68,5.37,332.58,-1.82,45,4.45,454.56,4.78,27.9,10,6.18,10.66,False
57.7,34.8,3.2,7.72,11.16,347.58,-1.73,145,5.02,474.56,-1.58,17.25,10,6.53,,False
57.7,22.65,9.86,0.68,6.63,302.58,-0.65,345,3.43,454.56,-0.38,17.55,10,9.48,,True
17.7,20.85,6.54,2.74,18.39,62.58,-0.53,105,5.17,484.56,1.4,21,10,6.88,9.96,False
13.7,0.84,-2.9,11.32,19.05,173.58,-0.99,0,12.36,142.56,-6.38,1.35,1,1.71,9.55,False
17.7,19.5,8.92,1.06,7.71,-87.42,1.45,350,3.69,184.56,6.88,18.15,10,8.18,10.27,False
11.7,3.45,-0.74,9.38,18.9,170.58,0.34,2,8.23,130.56,-8.52,1.47,1,1.5,9.35,False
17.7,42.9,10.22,3.06,16.29,92.58,-0.76,260,3.75,194.56,2.96,21.15,10,7.33,,False
11.7,0.72,-1.1,9.14,18.63,83.58,0.03,19,7.29,74.56,-3.14,1.74,1,1.94,,True
37.7,19.95,6.42,0.42,2.61,77.58,-0.08,255,2.32,394.56,7.38,21,10,9.83,11.03,True
11.7,2.52,0.7,16.04,19.89,110.58,-0.65,1,8.12,148.56,-6.24,1.05,1,2.27,11.07,False
15.7,5.73,-0.46,9.92,20.55,131.58,-0.82,13,8.01,150.56,-6.5,1.95,1,1.86,,True
15.7,1.83,-1.42,9.96,19.14,161.58,1.83,19,8,100.56,-9.08,2.58,1,1.33,10.77,False
37.7,25.95,11.06,1.14,3.87,47.58,-0.3,325,4.16,194.56,1.46,18.45,10,9.28,9.68,False
37.7,20.85,9.36,-0.66,6.36,242.58,-1.54,110,2.82,214.56,7.58,28.8,10,6.93,12.7,True
37.7,32.25,10.2,0.68,3.78,152.58,-2.21,150,4.82,114.56,7.28,24,10,7.63,11.92,True
11.7,1.11,-2,8.66,16.92,68.58,0.62,10,8.07,58.56,-1.98,1.35,1,2.1,,True
15.7,3.27,-3.88,15.82,17.85,149.58,-0.92,5,7.36,122.56,-2.78,2.61,1,1.86,,True
15.7,1.05,-3.04,9.78,24.45,173.58,0.06,43,8.65,150.56,-2.86,2.82,1,1.78,,False
15.7,3.12,1.16,9.96,17.31,125.58,2.07,72,7.36,90.56,-3.16,1.35,1,2.14,11.56,True
15.7,0.15,0.8,12.46,18.06,155.58,1.25,29,7.55,98.56,-2.9,2.13,1,1.94,,False
11.7,2.58,0.82,11.34,17.13,131.58,0.5,27,9.36,116.56,-4.72,0.87,1,2.02,,False
15.7,4.77,-3.38,10.76,16.47,161.58,-0.23,19,7.6,66.56,-2.3,0.36,1,2.25,,True
37.7,21.3,8.88,4.02,6.39,-132.42,3.16,335,3.57,354.56,6.76,22.65,10,8.53,10.53,False
37.7,23.85,9.48,0.08,12.69,-72.42,-0.94,190,3.55,184.56,5.72,26.1,10,7.08,,False
11.7,1.68,1.52,9.66,27.51,161.58,0.24,43,7.88,86.56,-7.64,2.46,1,2.18,,True
37.7,15,10.06,5.8,4.71,92.58,-0.04,215,3.61,524.56,2.48,27.3,10,7.48,,False
11.7,4.71,1.34,18.48,20.82,77.58,1.48,35,8.99,134.56,-2.22,1.08,1,2.27,11.96,True
15.7,4.89,-3.12,11.38,19.71,176.58,-1.28,7,8.87,146.56,-2.38,2.73,1,1.7,,True
15.7,2.43,1.06,13.38,20.67,161.58,-0.7,13,9.26,148.56,-7.38,2.37,1,1.87,,True
15.7,0.75,1.48,9.52,19.74,140.58,0.69,34,8.04,64.56,-4.56,0.03,1,2.22,,True
15.7,5.49,-0.08,13.58,20.04,158.58,-0.86,28,8.56,82.56,-4.46,1.74,1,1.76,,True
17.7,24.6,6.3,5.64,6.87,-117.42,0.02,350,5.6,244.56,4.48,16.65,10,7.13,9.3,False
11.7,5.4,1.24,10.7,18.81,176.58,1.26,25,7.9,144.56,-2.4,1.8,1,1.9,,True
7.7,3.75,1.72,8.5,19.56,119.58,1.38,74,7.36,70.56,-3.86,2.82,1,2.07,10.88,True
37.7,37.2,5.56,1.34,9.96,-102.42,-0.08,215,4.8,284.56,5.56,15.15,10,7.88,,False
11.7,0.33,-1.22,13.22,17.49,170.58,1.35,13,9.76,70.56,-2.74,1.8,1,1.65,10.63,False
15.7,4.86,0.88,11.18,17.73,149.58,-0.49,49,7.44,128.56,-9.94,0.72,1,2.16,,False
11.7,5.16,1.74,9.68,17.73,185.58,-0.45,48,9.77,74.56,-2.84,2.67,1,2.1,12.89,True
15.7,1.65,-0.6,9,18.9,137.58,1.35,35,8.01,76.56,-4.64,0.06,1,2.04,10.23,False
17.7,36.3,9.34,3.06,12.21,77.58,-1.96,135,3.51,304.56,4.78,22.35,10,6.98,10.15,False
15.7,4.53,0.28,9.16,17.73,155.58,0.91,27,7.59,114.56,-2.48,0.75,1,1.78,10.37,False
17.7,41.1,8.14,1.6,6.96,17.58,-1.87,170,3.74,174.56,5.16,18.9,10,7.33,10.29,False
37.7,21.15,8.6,3.38,10.17,-117.42,-0.36,25,6.07,164.56,2.76,16.95,10,6.73,10.68,False
37.7,19.2,6.18,-0.06,11.76,107.58,-0.7,225,2.13,94.56,6.84,22.35,10,8.98,,True
57.7,24.45,9.14,0.98,4.74,197.58,1.21,65,8.31,364.56,0.06,18.75,10,7.83,9.17,False
5.7,5.13,0.3,9.68,31.38,80.58,-0.41,0,7.45,148.56,-2.56,0.9,1,2.32,10.58,False
37.7,28.65,10.38,-0.4,11.04,317.58,-1.03,380,5.09,494.56,1.96,23.1,10,9.18,11.45,True
37.7,23.7,5.68,1.88,5.25,167.58,0.36,240,3.95,124.56,0.16,15.9,10,7.38,10.09,False
17.7,34.35,7.8,1.7,8.67,-132.42,-0.36,180,2.89,244.56,7.72,19.35,10,8.93,,True
11.7,2.7,1.34,11.46,22.35,65.58,-0.06,2,8.96,102.56,-9.52,1.23,1,1.89,10.23,False
17.7,34.2,10.86,-0.36,6.18,122.58,-1.95,150,4.71,94.56,3.96,20.55,10,7.68,,True
37.7,37.35,8.28,3.52,5.97,-57.42,-1.49,10,3.64,114.56,2,18.9,10,6.53,10.62,False
11.7,1.71,-6.66,10.68,17.49,170.58,-0.74,9,7.39,100.56,-3.66,0.69,1,2.13,11.05,True
7.7,6,-0.62,8.98,16.74,101.58,-0.46,30,10.48,96.56,-5.7,1.86,1,2.1,,True
37.7,27.6,1.94,2.72,6.33,-42.42,-1.85,85,5.08,134.56,5.3,17.4,10,6.88,10.47,False
17.7,26.7,8.2,0.26,3.33,-72.42,-1.75,15,5.72,414.56,0.96,19.8,10,8.58,,False
7.7,5.04,-3.28,11.18,18.03,86.58,-0.34,4,10.03,136.56,-3.12,2.22,1,1.46,,False
37.7,22.65,5.66,4.18,8.61,122.58,0.66,275,4.6,394.56,2.82,15.3,10,7.13,9.63,False
37.7,21.15,10.38,-1.2,1.08,-87.42,-0.14,150,3.82,404.56,7.06,21.45,10,10.98,11.4,True
11.7,4.62,-0.54,13.62,24.09,110.58,-0.04,20,7.94,118.56,-2.66,0.6,1,2.12,,False
7.7,4.98,1.12,10.2,16.92,77.58,1.54,6,8.42,94.56,-2.8,2.34,1,2.04,11.79,True
15.7,0.36,-2.26,11.72,17.49,164.58,-0.82,2,10.49,88.56,-7.16,1.74,1,1.48,10.17,False
57.7,28.95,2.28,2.4,8.88,407.58,-2.49,55,4.4,254.56,-0.4,18.9,10,6.13,,False
17.7,38.25,10.58,-0.74,0.48,92.58,0.37,360,5.05,134.56,6.6,18.75,10,10.18,,True
11.7,5.73,-5.16,11.26,19.35,140.58,-0.41,18,7.92,94.56,-2.48,2.28,1,1.69,,True
37.7,42,5.46,4.48,6.6,-12.42,-1.85,120,6.59,424.56,2.52,21.45,10,6.78,8.91,False
9.7,0.36,0.14,10.2,25.41,122.58,1.32,9,11.08,96.56,-5.8,1.44,1,2.22,,True
15.7,1.02,1.16,15.06,19.17,167.58,0.28,49,9.82,110.56,-3.8,2.91,1,2.15,11.7,True
7.7,2.04,-4.6,13.72,19.83,65.58,1.9,21,7.36,98.56,-2.3,1.92,1,2.23,11.6,True
37.7,36.45,7.38,-1.2,12.27,-72.42,0.32,235,3.21,74.56,7.96,23.1,10,8.73,11.31,True
17.7,19.65,8.78,-0.76,4.38,32.58,-0.22,65,3.12,454.56,4.78,25.05,10,8.43,,True
